Unnamed: 0,cod,cod2,nome,nome.1,nomeUF,UF,plan,legis,saude,meioamb,polgen,pop,ida,sexo,idade,escolaridade,partido,regiao,ESPVIDA1991,MORT1991,ESPVIDA2000,MORT12000,ESPVIDA2010,MORT12010,IDH1991,IDH2000,IDH2010,GINI1991,GINI2000,GINI2010,Renda1991,Renda2000,Renda2010
61,61,430005,AGUA SANTA,AGUA SANTA,AGUA SANTA - RS,RS,-2,1,3,-3,-6,3838,-7,Masculino,37,Pós-graduação,PMDB,Sul,68.4,18.85,75.44,13.2,76,11.4,588,716,791,0.56,0.48,0.68,283.57,442.3,1491.17
62,62,350030,AGUAI,AGUAI,AGUAI - SP,SP,-2,6,-1,3,-13,34188,-7,Masculino,90,médio cpt.,PMDB,Sudeste,67.91,27.87,73.04,17.8,76.49,12.5,589,718,795,0.49,0.55,0.47,412.97,610.66,636.07
63,63,310080,AGUANIL,AGUANIL,AGUANIL - MG,MG,-2,-2,3,2,-6,4293,-5,Masculino,36,médio cpt.,PSDB,Sudeste,56.44,31.8,72.85,20.68,75.7,14.3,589,717,793,0.44,0.48,0.45,197.39,420.84,524.43
64,64,260050,AGUAS BELAS,AGUAS BELAS,AGUAS BELAS - PE,PE,14,-7,1,-2,7,42008,13,Masculino,42,superior incpt.,PT,Nordeste,56.14,99.1,59.69,85.29,66.44,39,586,716,791,0.53,0.62,0.58,107.49,131.78,239.3
65,65,350040,AGUAS DA PRATA,AGUAS DA PRATA,AGUAS DA PRATA - SP,SP,6,0,7,2,-6,7942,9,Masculino,51,superior cpt.,PSC,Sudeste,63.54,19.39,73.44,17.1,78.13,9.6,585,716,791,0.54,0.54,0.52,531.44,680.16,853.39
66,66,420050,AGUAS DE CHAPECO,AGUAS DE CHAPECO,AGUAS DE CHAPECO - SC,SC,-2,6,3,-3,-6,6313,-2,Masculino,31,superior cpt.,PMDB,Sul,63.41,30.41,71.9,23.6,73.66,15.5,585,715,790,0.54,0.6,0.44,195.01,522.53,673.13
67,67,350050,AGUAS DE LINDOIA,AGUAS DE LINDOIA,AGUAS DE LINDOIA - SP,SP,6,4,9,-7,-4,18108,8,Masculino,57,médio cpt.,DEM,Sudeste,67.61,22.11,75.49,13.8,75.76,12.5,584,715,790,0.59,0.53,0.43,498.51,805.89,730.13
68,68,350055,AGUAS DE SANTA BARBARA,AGUAS DE SANTA BARBARA,AGUAS DE SANTA BARBARA - SP,SP,-2,6,3,0,-15,5876,-8,Masculino,70,superior cpt.,PMDB,Sudeste,69.45,24.19,74.86,14.8,75.41,13,584,715,790,0.55,0.51,0.48,456.63,612.97,818.15
69,69,350060,AGUAS DE SAO PEDRO,AGUAS DE SAO PEDRO,AGUAS DE SAO PEDRO - SP,SP,-2,-1,7,7,-6,3004,5,Masculino,56,médio cpt.,PSDB,Sudeste,69.61,18.03,77.18,11.4,78.37,9.3,689,791,854,0.46,0.5,0.47,247.43,370.42,596.18
70,70,310090,AGUAS FORMOSAS,AGUAS FORMOSAS,AGUAS FORMOSAS - MG,MG,12,-9,1,0,-13,19186,-9,Masculino,65,superior cpt.,PPS,Sudeste,64.03,46.9,67.64,36.29,73.63,17.5,582,715,789,0.64,0.65,0.57,188.7,226.06,389.57
71,71,420055,AGUAS FRIAS,AGUAS FRIAS,AGUAS FRIAS - SC,SC,-2,-3,7,-5,-14,2430,-17,Masculino,52,Pós-graduação,PP,Sul,67.28,26.59,71.15,25.3,76.61,11.4,581,714,789,0.51,0.55,0.38,247.69,494.34,743.13
72,72,520025,AGUAS LINDAS DE GOIAS,AGUAS LINDAS DE GOIAS,AGUAS LINDAS DE GOIAS - GO,GO,8,8,3,10,-14,177890,15,Masculino,43,superior cpt.,PTB,Centro-Oeste,68.27,28.68,70.74,24.66,75.85,11.62,581,713,789,0.57,0.45,0.43,335.23,300.59,449.38
73,73,420060,AGUAS MORNAS,AGUAS MORNAS,AGUAS MORNAS - SC,SC,-1,4,3,-2,-6,5926,-2,Masculino,55,superior cpt.,PMDB,Sul,66.23,21.05,73.55,20.1,76.15,12,581,713,789,0.39,0.36,0.34,248.07,384.13,754.54
74,74,310100,AGUAS VERMELHAS,AGUAS VERMELHAS,AGUAS VERMELHAS - MG,MG,-1,-5,3,-1,-8,13306,-12,Masculino,46,médio cpt.,PSDB,Sudeste,60.91,55.03,67.11,38.14,73.46,17.8,581,713,789,0.61,0.6,0.51,201.55,189.5,306.97
75,75,430010,AGUDO,AGUDO,AGUDO - RS,RS,8,8,1,0,-8,17161,9,Masculino,44,superior cpt.,PMDB,Sul,68.71,22.41,73.2,16.7,75.84,12.4,580,712,788,0.61,0.53,0.52,427.84,550.66,861.06
76,76,350070,AGUDOS,AGUDOS,AGUDOS - SP,SP,-1,4,3,-1,7,36150,12,Masculino,28,superior cpt.,PMDB,Sudeste,63.16,28.06,71.6,20.4,75.67,13.7,580,712,788,0.47,0.53,0.41,404.41,530.21,642.59
77,77,410030,AGUDOS DO SUL,AGUDOS DO SUL,AGUDOS DO SUL - PR,PR,-2,4,7,-8,-6,8797,-5,Masculino,72,fundamental incpt.,PP,Sul,69.15,45.11,67.23,25.07,72.41,16.4,580,712,788,0.49,0.52,0.48,220.73,303.22,519.63
