Unnamed: 0,cod,cod2,nome,nome.1,nomeUF,UF,plan,legis,saude,meioamb,polgen,pop,ida,sexo,idade,escolaridade,partido,regiao,ESPVIDA1991,MORT1991,ESPVIDA2000,MORT12000,ESPVIDA2010,MORT12010,IDH1991,IDH2000,IDH2010,GINI1991,GINI2000,GINI2010,Renda1991,Renda2000,Renda2010
3574,3574,210770,PARAIBANO,PARAIBANO,PARAIBANO - MA,MA,14,-7,1,-3,-8,20636,-3,Feminino,57,médio cpt.,PV,Nordeste,67.6,33.86,71.89,19.8,73.91,16.5,332,475,626,0.56,0.61,0.54,135.3,183.74,281.23
3575,3575,353560,PARAIBUNA,PARAIBUNA,PARAIBUNA - SP,SP,-2,3,1,3,-6,18040,-1,Masculino,50,superior cpt.,DEM,Sudeste,60.43,66.21,68.52,38.22,69.25,28.8,480,623,727,0.45,0.71,0.52,246.4,399.97,685.17
3576,3576,231025,PARAIPABA,PARAIPABA,PARAIPABA - CE,CE,12,6,7,6,-12,31413,19,Masculino,56,superior cpt.,PSB,Nordeste,68.98,24.99,74.91,14.7,75.19,13.3,357,505,648,0.6,0.53,0.49,339.85,387.32,637.58
3577,3577,353570,PARAISO,PARAISO,PARAISO - SP,SP,-2,-1,7,2,-8,6207,-2,Feminino,36,superior cpt.,PT,Sudeste,66.3,23.9,73.5,20.2,75,13.6,516,655,749,0.58,0.45,0.56,268.05,278.14,631.47
3578,3578,421223,PARAISO,PARAISO,PARAISO - SC,SC,-2,8,7,1,-6,3915,8,Masculino,46,médio cpt.,PMDB,Sul,70.36,40.64,70.44,17.77,74.5,14.3,433,582,700,0.51,0.52,0.52,122.33,168.29,278.33
3579,3579,500627,PARAISO DAS AGUAS,PARAISO DAS AGUAS,PARAISO DAS AGUAS - RS,RS,-2,9,3,-7,-23,4942,-20,Masculino,38,médio cpt.,PMDB,Centro-Oeste,66.9,26.74,71.01,20.7,74.84,13,0,0,0,0,0,0,,,
3580,3580,411800,PARAISO DO NORTE,PARAISO DO NORTE,PARAISO DO NORTE - PR,PR,-1,10,7,2,-8,12661,10,Masculino,52,Pós-graduação,PT,Sul,64.61,45.08,67.65,34.79,74.88,14.2,511,650,746,0.54,0.59,0.44,151.12,484.2,505.89
3581,3581,431402,PARAISO DO SUL,PARAISO DO SUL,PARAISO DO SUL - RS,RS,0,-1,3,1,-8,7615,-5,Masculino,60,fundamental cpt.,PP,Sul,58.2,25.17,72.85,20.69,76.11,13.7,441,590,705,0.61,0.55,0.51,146.58,198.31,290.8
3582,3582,171610,PARAISO DO TOCANTINS,PARAISO DO TOCANTINS,PARAISO DO TOCANTINS - TO,TO,-2,10,3,-4,-3,47724,4,Masculino,Ignorada,superior cpt.,PMDB,Norte,58.59,58.1,68.88,36.95,70.85,24,542,675,764,0.56,0.62,0.57,169.47,261.03,410.67
3583,3583,314730,PARAISOPOLIS,PARAISOPOLIS,PARAISOPOLIS - MG,MG,-1,-5,3,-1,-6,20410,-10,Feminino,44,superior cpt.,PT,Sudeste,57.88,53.4,65.2,41.62,71.53,22.9,486,629,731,0.6,0.58,0.48,162.41,180.71,252.39
3584,3584,231030,PARAMBU,PARAMBU,PARAMBU - CE,CE,-2,-3,7,1,-8,31462,-5,Feminino,31,superior cpt.,PMDB,Nordeste,57.27,78.13,64.93,51.77,69.45,28.2,332,474,626,0.52,0.57,0.53,116.46,133.14,211.05
3585,3585,292360,PARAMIRIM,PARAMIRIM,PARAMIRIM - BA,BA,2,2,5,7,-12,21838,4,Masculino,52,Pós-graduação,PSD,Nordeste,61.37,57.65,64.73,44.62,71.63,22,353,499,643,0.47,0.6,0.4,226.4,595.62,541.69
3586,3586,231040,PARAMOTI,PARAMOTI,PARAMOTI - CE,CE,0,-2,7,2,-6,11517,1,Masculino,72,Pós-graduação,PSDB,Nordeste,60.48,80.09,63.91,54.49,71.56,22.2,332,474,626,0.45,0.65,0.52,83.73,111.72,196.63
3587,3587,171620,PARANA,PARANA,PARANA - TO,TO,-2,-4,7,6,-5,10585,2,Masculino,56,superior cpt.,PMDB,Norte,65.34,29.82,70.91,16.82,75.36,12.2,331,474,625,0.55,0.65,0.65,153.38,175.47,311.37
3588,3588,240860,PARANA,PARANA,PARANA - RN,RN,-2,-7,5,-3,-6,4165,-13,Feminino,44,superior cpt.,PMDB,Nordeste,67.13,30.82,73.17,12.63,76.12,10.81,331,474,625,0.69,0.63,0.49,87.2,117.11,219.34
3589,3589,411810,PARANACITY,PARANACITY,PARANACITY - PR,PR,4,0,1,2,-8,10863,-1,Feminino,68,superior cpt.,PSDB,Sul,72.56,34.47,70.13,25.14,74.38,18.9,486,629,731,0.61,0.61,0.53,444.33,598.73,774.65
3590,3590,411820,PARANAGUA,PARANAGUA,PARANAGUA - PR,PR,-2,12,3,4,5,148232,22,Masculino,71,médio cpt.,PMDB,Sul,70.37,26.92,72.72,21.2,75.14,13,517,656,750,0.6,0.54,0.51,155.73,189.43,359.06
3591,3591,500630,PARANAIBA,PARANAIBA,PARANAIBA - MS,MS,-2,12,3,4,-5,41227,12,Masculino,58,superior cpt.,PMDB,Centro-Oeste,76.62,36.56,68.35,30.1,73.54,17.7,470,615,721,0.54,0.57,0.64,146.23,159.29,347.2
3592,3592,521630,PARANAIGUARA,PARANAIGUARA,PARANAIGUARA - GO,GO,-2,-5,7,3,-6,9593,-3,Masculino,45,médio cpt.,PMDB,Centro-Oeste,69.6,37,71.37,20.8,75.31,14.3,465,611,719,0.52,0.5,0.5,162.57,276.95,471.57
3593,3593,510629,PARANAITA,PARANAITA,PARANAITA - MT,MT,-2,5,3,-2,-8,10801,-4,Masculino,51,médio incpt.,PMDB,Centro-Oeste,67.88,35.28,71.01,16.62,75.06,12.6,392,543,672,0.57,0.6,0.58,412.83,570.26,763.35
3594,3594,353580,PARANAPANEMA,PARANAPANEMA,PARANAPANEMA - SP,SP,-2,3,1,-1,1,18965,2,Masculino,67,Pós-graduação,PV,Sudeste,67.65,24.24,71.67,20.3,75.52,14,467,613,719,0.59,0.63,0.53,87.5,152.72,258.93
3595,3595,411830,PARANAPOEMA,PARANAPOEMA,PARANAPOEMA - PR,PR,14,2,7,1,-6,2980,18,Feminino,52,superior cpt.,PT,Sul,59.69,103.59,59.87,84.25,67.17,36.3,466,612,719,0.57,0.63,0.49,159.2,220.95,384.42
3596,3596,353590,PARANAPUA,PARANAPUA,PARANAPUA - SP,SP,-1,-3,7,3,-6,3983,0,Masculino,64,superior cpt.,PSB,Sudeste,76.56,39.31,68.26,30.37,74.18,16.7,504,644,742,0.35,0.4,0.39,369.47,367.97,529.08
3597,3597,261030,PARANATAMA,PARANATAMA,PARANATAMA - PE,PE,-2,-3,1,-5,-17,11399,-26,Masculino,60,superior incpt.,PSB,Nordeste,66.64,28.45,73.17,12.63,75.62,11.9,331,474,625,0.49,0.49,0.55,120.49,135.47,213.74
3598,3598,510630,PARANATINGA,PARANATINGA,PARANATINGA - MT,MT,1,4,5,1,-6,20383,5,Masculino,65,médio cpt.,PRP,Centro-Oeste,69.74,47.42,69.11,28.09,73.65,20.2,393,544,673,0.49,0.46,0.48,116.63,169.79,236.56
3599,3599,411840,PARANAVAI,PARANAVAI,PARANAVAI - PR,PR,10,10,1,3,-4,85643,20,Masculino,56,superior cpt.,PMDB,Sul,64.24,34.36,70.44,27.35,72.55,19.4,560,692,776,0.54,0.57,0.52,126.24,216.66,312.46
3600,3600,500635,PARANHOS,PARANHOS,PARANHOS - MS,MS,-2,-1,1,-1,-13,13123,-16,Masculino,33,superior cpt.,PDT,Centro-Oeste,63.84,27.24,73.11,17.7,74.78,15.1,336,480,629,0.49,0.51,0.49,226.21,429.39,511.7
3601,3601,314740,PARAOPEBA,PARAOPEBA,PARAOPEBA - MG,MG,-2,0,7,1,-4,23762,2,Masculino,72,fundamental cpt.,DEM,Sudeste,64.93,86.67,62.13,52.82,68.98,30.6,458,606,715,0.58,0.54,0.55,357.38,328.92,645.4
3602,3602,353600,PARAPUA,PARAPUA,PARAPUA - SP,SP,10,-7,7,1,-6,11124,5,Masculino,43,superior cpt.,PP,Sudeste,58.9,76.93,64.42,44.32,71.46,23.1,495,637,737,0.46,0.47,0.44,460.02,628.97,844.04
3603,3603,251065,PARARI,PARARI,PARARI - PB,PB,-1,-9,-1,-8,-12,1823,-31,Masculino,47,fundamental cpt.,PSB,Nordeste,65.79,20.79,71.36,15.69,75.52,13.4,331,473,625,0.52,0.46,0.49,72.16,175.59,300.27
3604,3604,292370,PARATINGA,PARATINGA,PARATINGA - BA,BA,-1,-2,7,2,-6,32258,0,Masculino,58,superior cpt.,PP,Nordeste,61.06,95.14,61.52,64.74,68.23,32.3,331,473,625,0.47,0.66,0.55,75.61,96.99,201.79
3605,3605,330380,PARATY,PARATY,PARATY - RJ,RJ,-2,12,5,6,-8,39434,13,Feminino,50,superior cpt.,PT,Sudeste,65.69,42.63,68.57,32.28,73.55,17.4,491,634,734,0.5,0.6,0.58,118.89,138.85,226.99
3606,3606,240870,PARAU,PARAU,PARAU - RN,RN,2,-9,7,-7,-8,3924,-15,Masculino,35,superior cpt.,PSD,Nordeste,72.49,26.31,70.45,25.9,73.4,15.4,341,486,634,0.52,0.47,0.4,153.73,215.15,548.05
3607,3607,150553,PARAUAPEBAS,PARAUAPEBAS,PARAUAPEBAS - PA,PA,1,8,5,1,31,176582,46,Masculino,65,superior cpt.,PSD,Norte,65.27,97.55,60.66,68.67,68.15,32.6,458,606,715,0.54,0.52,0.52,316.09,475.5,635.46
3608,3608,521640,PARAUNA,PARAUNA,PARAUNA - GO,GO,8,-3,9,3,-6,11175,11,Masculino,35,superior cpt.,DEM,Centro-Oeste,65.95,29.44,72.87,18.1,74.23,15.9,404,554,680,0.55,0.55,0.49,438.82,570.5,821.43
3609,3609,240880,PARAZINHO,PARAZINHO,PARAZINHO - RN,RN,2,-9,1,3,-4,5139,-7,Masculino,49,médio cpt.,PR,Nordeste,65.46,15.55,75.47,13.2,76.12,11.3,330,473,625,0.43,0.51,0.52,83.78,149.33,234.75
3610,3610,353610,PARDINHO,PARDINHO,PARDINHO - SP,SP,-1,-9,3,0,-6,5979,-13,Masculino,71,médio incpt.,PSDB,Sudeste,62.73,43,66.18,30.38,73,18,484,627,729,0.42,0.55,0.49,139.05,215.52,299.05
3611,3611,431403,PARECI NOVO,PARECI NOVO,PARECI NOVO - RS,RS,4,-1,1,2,-11,3686,-5,Masculino,40,superior cpt.,PTB,Sul,65.84,48.45,70.25,31.54,73.09,18.3,521,660,753,0.52,0.56,0.42,119.37,188.08,263.68
3612,3612,110145,PARECIS,PARECIS,PARECIS - RO,RO,-2,7,5,-6,-14,5477,-10,Masculino,40,médio cpt.,PMDB,Norte,67.87,82.91,62.07,55.23,70.23,28.7,330,472,624,0.44,0.63,0.52,142.31,185.42,343.73
3613,3613,240890,PARELHAS,PARELHAS,PARELHAS - RN,RN,6,1,7,-1,-14,21288,-1,Masculino,44,Pós-graduação,PT,Nordeste,63.19,50.43,67.3,38.66,72.97,17.7,431,581,699,0.47,0.5,0.56,107.87,163.65,264.86
3614,3614,270642,PARICONHA,PARICONHA,PARICONHA - AL,AL,-1,-5,7,-8,-14,10674,-21,Masculino,40,superior cpt.,PP,Nordeste,58.74,87.69,60.49,59.47,68.02,33.8,330,472,624,0.52,0.64,0.5,72.56,101.98,211.13
3615,3615,130340,PARINTINS,PARINTINS,PARINTINS - AM,AM,0,10,5,-4,2,109225,13,Masculino,38,superior cpt.,PSD,Norte,62.32,65.4,63.52,49.3,71,26.4,414,566,688,0.46,0.59,0.57,147.51,144.75,188.48
3616,3616,292380,PARIPIRANGA,PARIPIRANGA,PARIPIRANGA - BA,BA,-2,-4,7,-7,-6,29654,-12,Masculino,34,superior incpt.,PSD,Nordeste,69.66,30.73,72.55,18.6,76.7,12.3,330,472,624,0.57,0.49,0.59,180.67,183.79,273.23
3617,3617,270644,PARIPUEIRA,PARIPUEIRA,PARIPUEIRA - AL,AL,-2,-3,1,-7,-14,12474,-25,Masculino,50,superior cpt.,PP,Nordeste,72.57,35.8,70.84,21.8,75.5,14,330,472,624,0.49,0.55,0.53,90.29,168.82,324.93
3618,3618,353620,PARIQUERA-ACU,PARIQUERA-ACU,PARIQUERA-ACU - SP,SP,12,0,5,6,-8,19239,15,Masculino,50,médio cpt.,PSC,Sudeste,59.6,75.92,63.9,46.16,71.64,23,493,635,736,0.42,0.49,0.57,73.41,79.31,145.01
3619,3619,353625,PARISI,PARISI,PARISI - SP,SP,1,-1,5,-3,-6,2118,-4,Masculino,55,superior cpt.,PSDB,Sudeste,67.57,61.32,67.52,34.09,73.98,16.83,507,646,744,0.58,0.54,0.56,269.55,475.1,717.69
3620,3620,220760,PARNAGUA,PARNAGUA,PARNAGUA - PI,PI,1,-3,3,-5,-23,10494,-27,Feminino,22,médio cpt.,PSD,Nordeste,56.06,49.72,69.11,35.26,74.52,15.01,330,472,624,0.5,0.56,0.56,91.57,133.82,211.44
3621,3621,220770,PARNAIBA,PARNAIBA,PARNAIBA - PI,PI,14,10,7,-2,0,148832,29,Masculino,43,superior cpt.,PT,Nordeste,57.35,55.91,66.49,51.32,71.58,22.4,414,566,688,0.65,0.68,0.58,80.34,81.81,154.54
3622,3622,240325,PARNAMIRIM,PARNAMIRIM,PARNAMIRIM - RN,RN,12,12,3,-6,14,229414,35,Masculino,68,superior cpt.,PDT,Nordeste,63.76,87.55,62.62,50.93,70.5,27.8,545,678,766,0.55,0.6,0.55,288.77,352.29,492.43
3623,3623,261040,PARNAMIRIM,PARNAMIRIM,PARNAMIRIM - PE,PE,10,-3,5,-3,-2,20990,7,Masculino,47,superior cpt.,PSD,Nordeste,63.9,17.9,74.11,15.3,78.18,8.9,331,473,625,0.52,0.54,0.45,263.49,433.64,530.79
3624,3624,210780,PARNARAMA,PARNARAMA,PARNARAMA - MA,MA,-2,-7,1,-6,-4,33883,-18,Masculino,Ignorada,Pós-graduação,PSB,Nordeste,62.43,82.15,65.1,49.72,70.79,24.4,329,472,624,0.47,0.57,0.55,75.99,97.3,183.8
3625,3625,431405,PAROBE,PAROBE,PAROBE - RS,RS,4,10,3,10,-17,54599,10,Masculino,35,superior incpt.,PT,Sul,58.31,31.23,72.83,20.74,76.59,13,451,600,711,0.38,0.44,0.38,439.94,440.98,589.47
3626,3626,240910,PASSA E FICA,PASSA E FICA,PASSA E FICA - RN,RN,-1,-9,3,-6,-6,12188,-19,Masculino,53,superior cpt.,PMDB,Nordeste,71.39,29.24,71.55,19.7,71.94,17.3,336,479,629,0.43,0.65,0.55,105.73,232.44,284.54
3627,3627,314760,PASSA QUATRO,PASSA QUATRO,PASSA QUATRO - MG,MG,12,1,7,3,-14,16224,9,Masculino,38,Pós-graduação,PSDB,Sudeste,59.76,28.78,71.99,22.95,73.46,17.8,499,641,740,0.44,0.46,0.45,100.33,147.21,254.03
3628,3628,431406,PASSA SETE,PASSA SETE,PASSA SETE - RS,RS,-2,-5,5,6,-8,5421,-4,Masculino,58,fundamental incpt.,PTB,Sul,59.13,30.63,72.71,21.06,73.53,17.7,355,503,646,0.34,0.47,0.45,510.7,430,567.17
3629,3629,314770,PASSA TEMPO,PASSA TEMPO,PASSA TEMPO - MG,MG,0,-5,1,3,-10,8377,-11,Masculino,53,superior incpt.,PSD,Sudeste,63.3,36.67,67.78,35.81,72.23,20,446,594,708,0.6,0.57,0.52,189.41,279.83,505.57
3630,3630,314780,PASSA-VINTE,PASSA-VINTE,PASSA-VINTE - MG,MG,2,-5,1,-4,-14,2121,-20,Masculino,48,superior cpt.,PSB,Sudeste,64.73,53.33,68.75,36.44,69.83,27.2,397,546,675,0.41,0.41,0.47,117.17,127.56,199.39
3631,3631,314750,PASSABEM,PASSABEM,PASSABEM - MG,MG,-1,-5,7,0,-8,1776,-7,Masculino,67,fundamental incpt.,PMDB,Sudeste,66.05,63.46,65.86,39.41,72.41,20.6,393,544,673,0.48,0.64,0.48,108.67,185.25,327.01
3632,3632,240920,PASSAGEM,PASSAGEM,PASSAGEM - RN,RN,-2,-7,1,-2,-8,3040,-18,Masculino,51,fundamental cpt.,DEM,Nordeste,63.99,87.89,61.04,57.19,68.04,36,368,516,655,0.52,0.5,0.56,83.76,113.76,202.66
3633,3633,251070,PASSAGEM,PASSAGEM,PASSAGEM - PB,PB,-2,-3,7,12,-8,2338,6,Masculino,32,médio incpt.,PMDB,Nordeste,63.93,78.41,63.61,47.24,70.46,26.4,329,471,624,0.5,0.54,0.51,90.85,171.89,270.29
3634,3634,210790,PASSAGEM FRANCA,PASSAGEM FRANCA,PASSAGEM FRANCA - MA,MA,0,-1,3,-8,-6,18216,-12,Masculino,42,superior cpt.,PTB,Nordeste,58.96,70.84,65.04,57.81,70.78,24.6,329,471,624,0.51,0.59,0.55,102.08,118.93,210.4
3635,3635,220775,PASSAGEM FRANCA DO PIAUI,PASSAGEM FRANCA DO PIAUI,PASSAGEM FRANCA DO PIAUI - PI,PI,-2,-4,7,6,-6,4457,1,Masculino,32,superior cpt.,PTB,Nordeste,67.89,83.32,62.07,55.2,67.19,39.3,329,471,624,0.39,0.5,0.54,62.83,121.7,323.31
3636,3636,261050,PASSIRA,PASSIRA,PASSIRA - PE,PE,2,-3,5,-6,-29,29082,-31,Masculino,57,superior cpt.,PSDB,Nordeste,61.31,27.56,73.4,20.4,77.13,10.8,329,471,623,0.4,0.54,0.5,110.24,161.44,259.04
3637,3637,270650,PASSO DE CAMARAGIBE,PASSO DE CAMARAGIBE,PASSO DE CAMARAGIBE - AL,AL,6,-3,5,-3,-15,15372,-10,Feminino,42,Pós-graduação,PMDB,Nordeste,65.19,20.59,71.89,19,76.04,11.4,329,471,623,0.41,0.6,0.48,100.7,133.65,194.73
3638,3638,421225,PASSO DE TORRES,PASSO DE TORRES,PASSO DE TORRES - SC,SC,-2,6,5,0,-6,7447,3,Masculino,54,fundamental cpt.,DEM,Sul,66.9,23.63,73.17,16.8,75.95,11.73,468,613,720,0.47,0.63,0.45,429.58,517.02,635.2
3639,3639,431407,PASSO DO SOBRADO,PASSO DO SOBRADO,PASSO DO SOBRADO - RS,RS,-2,-1,3,2,-6,6307,-4,Masculino,47,superior cpt.,PT,Sul,59.84,30.38,72.11,22.63,78.15,10.35,483,626,729,0.56,0.54,0.47,171.9,201.98,282.97
3640,3640,431410,PASSO FUNDO,PASSO FUNDO,PASSO FUNDO - RS,RS,-2,12,3,10,-1,194432,22,Masculino,43,superior cpt.,PPS,Sul,62.76,32.96,70.36,27.2,73.46,15.8,589,718,795,0.49,0.55,0.47,412.97,610.66,636.07
3641,3641,314790,PASSOS,PASSOS,PASSOS - MG,MG,1,10,5,-5,-4,111651,7,Masculino,60,superior cpt.,PSDB,Sudeste,64.84,64.92,63.22,48.69,70.18,28.8,526,664,756,0.5,0.8,0.55,268.39,378.97,556.03
3642,3642,421227,PASSOS MAIA,PASSOS MAIA,PASSOS MAIA - SC,SC,-2,1,7,-2,-2,4387,2,Masculino,45,superior cpt.,PSDB,Sul,64.57,55.86,65.91,42.48,72.23,20,403,554,680,0.54,0.58,0.52,513.52,722.57,950.39
3643,3643,210800,PASTOS BONS,PASTOS BONS,PASTOS BONS - MA,MA,2,-5,1,-7,-8,18687,-17,Feminino,43,superior cpt.,PV,Nordeste,71.35,29.28,71.09,16.46,73.42,14.9,328,470,623,0.55,0.67,0.55,91.3,137.62,230.94
3644,3644,314795,PATIS,PATIS,PATIS - MG,MG,-2,-9,5,-3,-6,5846,-15,Masculino,37,médio cpt.,PMDB,Sudeste,72.15,30.51,73.17,12.63,75.72,11.8,328,470,623,0.61,0.54,0.47,115.24,118.02,244.72
3645,3645,411845,PATO BRAGADO,PATO BRAGADO,PATO BRAGADO - PR,PR,-1,8,7,-6,-6,5170,2,Masculino,63,médio incpt.,PP,Sul,66.35,66.18,68.11,32.31,74.26,15.27,526,663,756,0.36,0.57,0.55,64.03,107.3,152.38
3646,3646,411850,PATO BRANCO,PATO BRANCO,PATO BRANCO - PR,PR,12,12,1,6,3,77230,34,Masculino,51,superior cpt.,PDT,Sul,58.97,29.5,73.94,17.96,76.31,14.47,589,717,793,0.44,0.48,0.45,197.39,420.84,524.43
3647,3647,251080,PATOS,PATOS,PATOS - PB,PB,10,10,9,-4,6,104716,31,Feminino,71,superior cpt.,PMDB,Nordeste,64.23,62.56,63.1,49.14,70.28,27,436,585,701,0.56,0.56,0.47,457.57,594.7,752.01
3648,3648,314800,PATOS DE MINAS,PATOS DE MINAS,PATOS DE MINAS - MG,MG,-2,12,7,3,10,146416,30,Masculino,49,médio incpt.,PSD,Sudeste,62.79,27.69,74.37,16.92,76.14,13.6,544,677,765,0.49,0.57,0.48,147.8,242.56,352.6
3649,3649,220777,PATOS DO PIAUI,PATOS DO PIAUI,PATOS DO PIAUI - PI,PI,-2,-9,7,-7,-6,6223,-17,Masculino,45,Pós-graduação,PSB,Nordeste,64.24,32.81,72.02,22.88,72.78,19,328,470,623,0.51,0.6,0.5,94.44,141.68,215.75
3650,3650,314810,PATROCINIO,PATROCINIO,PATROCINIO - MG,MG,14,8,7,3,22,87178,54,Masculino,50,Pós-graduação,PPS,Sudeste,69.14,26.98,73.14,17.6,74.55,15.4,511,650,746,0.51,0.59,0.45,269,500.03,633.52
3651,3651,314820,PATROCINIO DO MURIAE,PATROCINIO DO MURIAE,PATROCINIO DO MURIAE - MG,MG,10,-1,1,4,-31,5548,-17,Masculino,38,médio cpt.,PPS,Sudeste,66.46,70.24,66.9,42.92,71.07,23.6,473,618,723,0.51,0.45,0.48,276.03,329.55,476.66
3652,3652,353630,PATROCINIO PAULISTA,PATROCINIO PAULISTA,PATROCINIO PAULISTA - SP,SP,-2,8,7,8,-27,13821,-6,Masculino,41,superior cpt.,PT,Sudeste,63.54,37.48,66.49,26.31,73.34,16.4,520,658,752,0.54,0.51,0.55,154.82,218,422.78
3653,3653,240930,PATU,PATU,PATU - RN,RN,4,-3,7,-2,-4,12561,2,Feminino,48,médio cpt.,PSB,Nordeste,59.41,84.91,60.2,60.66,68.6,31.9,388,538,669,0.45,0.53,0.45,62.22,140.03,219.92
3654,3654,330385,PATY DO ALFERES,PATY DO ALFERES,PATY DO ALFERES - RJ,RJ,-2,12,7,4,-6,26696,15,Masculino,48,médio cpt.,PDT,Sudeste,62.93,53.38,67.84,34.67,69.86,27.3,431,581,699,0.38,0.46,0.53,88.96,120.35,227.51
3655,3655,292390,PAU BRASIL,PAU BRASIL,PAU BRASIL - BA,BA,0,-3,7,6,-8,11166,2,Masculino,56,Pós-graduação,PDT,Nordeste,63.49,49.22,64.83,44.26,72.51,19.7,328,469,623,0.53,0.55,0.56,116.8,187.7,296.08
3656,3656,150555,PAU D'ARCO,PAU D'ARCO,PAU D'ARCO - PA,PA,-2,6,5,-1,-6,5743,2,Masculino,49,superior incpt.,PMDB,Norte,58.84,88.23,62.93,49.76,69.5,29.4,327,469,622,0.51,0.55,0.51,157.61,173.88,279.72
3657,3657,171630,PAU D'ARCO,PAU D'ARCO,PAU D'ARCO - TO,TO,-2,-4,5,1,-1,4772,-1,Feminino,37,superior cpt.,PMDB,Norte,64.73,48.45,70.1,32.02,73.16,18.2,376,527,661,0.52,0.48,0.46,112.1,139.46,261.05
3658,3658,220779,PAU D'ARCO DO PIAUI,PAU D'ARCO DO PIAUI,PAU D'ARCO DO PIAUI - PI,PI,-2,-9,5,-5,-12,3888,-23,Masculino,57,médio cpt.,PRB,Nordeste,62.43,58.14,67.85,45.63,71.92,21.5,327,469,622,0.38,0.58,0.6,66.53,72.03,167.01
3659,3659,240940,PAU DOS FERROS,PAU DOS FERROS,PAU DOS FERROS - RN,RN,14,-5,7,-3,-6,29430,7,Masculino,40,Pós-graduação,DEM,Nordeste,59.56,65.43,62.06,59.65,68.45,30.2,447,595,708,0.73,0.5,0.5,576.52,724.94,1013.75
3660,3660,261060,PAUDALHO,PAUDALHO,PAUDALHO - PE,PE,4,2,3,-8,-3,54051,-2,Masculino,55,superior incpt.,PSB,Nordeste,60.97,40.25,68.37,33.84,74.38,16.3,357,505,648,0.42,0.55,0.51,104.99,104.84,174.55
3661,3661,130350,PAUINI,PAUINI,PAUINI - AM,AM,-2,-9,7,-6,-6,19149,-16,Masculino,50,médio cpt.,PMDB,Norte,70.51,30.82,72.17,14.4,75.79,11.7,327,469,622,0.65,0.7,0.72,182.72,198.75,218.21
3662,3662,314830,PAULA CANDIDO,PAULA CANDIDO,PAULA CANDIDO - MG,MG,10,-7,7,-2,-6,9605,2,Masculino,37,médio cpt.,PMDB,Sudeste,71.15,36.67,70.32,22.9,73.64,16.9,386,536,668,0.52,0.58,0.54,133.87,173.88,266.01
3663,3663,411860,PAULA FREITAS,PAULA FREITAS,PAULA FREITAS - PR,PR,10,10,5,-1,-6,5700,18,Masculino,50,superior incpt.,PPS,Sul,70.83,20.7,73.26,17.4,76.83,12.62,461,608,717,0.59,0.6,0.58,134.99,183.7,285.96
3664,3664,353640,PAULICEIA,PAULICEIA,PAULICEIA - SP,SP,-2,-6,-1,4,-6,6807,-11,Masculino,45,superior cpt.,PV,Sudeste,60.66,102.53,61.06,57.11,68.18,35.5,455,603,713,0.55,0.72,0.56,96.01,218.46,233.96
3665,3665,353650,PAULINIA,PAULINIA,PAULINIA - SP,SP,-2,2,7,4,-8,92668,3,Masculino,36,superior cpt.,PMDB,Sudeste,65.17,58.88,63.56,47.4,69.79,28,597,722,798,0.55,0.64,0.5,124.94,242.11,322.12
3666,3666,210805,PAULINO NEVES,PAULINO NEVES,PAULINO NEVES - MA,MA,0,-3,5,1,-8,15234,-5,Masculino,39,superior cpt.,PRB,Nordeste,59.91,36.54,72.8,27.49,74.77,15,327,469,622,0.51,0.58,0.62,78.99,73.28,159.46
3667,3667,251090,PAULISTA,PAULISTA,PAULISTA - PB,PB,-2,-7,3,-4,-6,12117,-16,Masculino,56,médio cpt.,PTB,Nordeste,66.36,74.25,63.54,47.49,71,24.9,327,468,622,0.55,0.56,0.49,110.95,189.32,308.48
3668,3668,261070,PAULISTA,PAULISTA,PAULISTA - PE,PE,6,4,1,1,-1,316714,11,Masculino,34,médio cpt.,PSB,Nordeste,68.29,26.9,71.52,20.5,74.04,16.3,554,688,772,0.51,0.58,0.53,118.12,170.3,239.53
3669,3669,220780,PAULISTANA,PAULISTANA,PAULISTANA - PI,PI,-2,-4,5,-6,-8,20093,-15,Masculino,55,fundamental cpt.,PTC,Nordeste,59.06,33.6,71.38,24.64,72.44,19.6,327,469,622,0.52,0.64,0.6,108.02,161.35,327.06
3670,3670,353657,PAULISTANIA,PAULISTANIA,PAULISTANIA - SP,SP,1,-5,5,-4,-8,1836,-11,Masculino,78,superior cpt.,PR,Sudeste,62.98,66.45,68.9,29.99,72.34,20.8,488,630,732,0.55,0.52,0.4,359.83,490.98,587.21
3671,3671,314840,PAULISTAS,PAULISTAS,PAULISTAS - MG,MG,-2,-7,3,-1,-6,5020,-13,Masculino,43,médio incpt.,PSDB,Sudeste,62.24,17.51,73.65,16,76.49,10.8,363,513,652,0.69,0.55,0.54,524.73,528.85,533.46
3672,3672,292400,PAULO AFONSO,PAULO AFONSO,PAULO AFONSO - BA,BA,1,4,5,7,16,117377,33,Masculino,59,Pós-graduação,PDT,Nordeste,67.54,34.27,69.95,23.7,73,18,429,579,698,0.48,0.64,0.74,109.08,142.25,191.04
3673,3673,431413,PAULO BENTO,PAULO BENTO,PAULO BENTO - RS,RS,-2,-7,5,6,-8,2284,-6,Masculino,57,superior cpt.,PV,Sul,70.66,39.85,67.14,25.28,73.34,15,460,608,717,0.6,0.61,0.55,356.56,451.78,627.1
