cod,2012,sexo,idade,escolaridade,partido,regiao,cidade
316540,Não,Masculino,38, superior cpt.,PMDB,Sudeste,SAPUCAI-MIRIM
316550,Não,Masculino,41, médio cpt.,PP,Sudeste,SARDOA
316553,Sim,Masculino,42, médio cpt.,PMDB,Sudeste,SARZEDO
316555,Sim,Masculino,28, superior incpt.,PSDB,Sudeste,SETUBINHA
316556,Não,Masculino,47, médio cpt.,PMDB,Sudeste,SEM-PEIXE
316557,Não,Masculino,60, fundamental incpt.,PR,Sudeste,SENADOR AMARAL
316560,Sim,Masculino,50, superior incpt.,PP,Sudeste,SENADOR CORTES
316570,Não,Masculino,62,Pós-graduação,PT,Sudeste,SENADOR FIRMINO
316580,Sim,Masculino,41, superior incpt.,PMDB,Sudeste,SENADOR JOSE BENTO
316590,Não,Masculino,33, médio cpt.,PPL,Sudeste,SENADOR MODESTINO GONCALVES
316600,Não,Masculino,50, médio cpt.,PR,Sudeste,SENHORA DE OLIVEIRA
316610,Não,Masculino,43, fundamental incpt.,PSB,Sudeste,SENHORA DO PORTO
316620,Não,Masculino,49, superior cpt.,PR,Sudeste,SENHORA DOS REMEDIOS
316630,Não,Feminino,46, superior cpt.,PSDB,Sudeste,SERICITA
316640,Não,Masculino,64, fundamental incpt.,DEM,Sudeste,SERITINGA
316650,Não,Masculino,45, médio cpt.,PDT,Sudeste,SERRA AZUL DE MINAS
316660,Sim,Feminino,55, superior cpt.,PDT,Sudeste,SERRA DA SAUDADE
316670,Não,Masculino,49, médio cpt.,PR,Sudeste,SERRA DOS AIMORES
316680,Não,Masculino,62, superior cpt.,PMDB,Sudeste,SERRA DO SALITRE
316690,Não,Masculino,49, fundamental cpt.,PT,Sudeste,SERRANIA
316695,Não,Masculino,33, superior cpt.,DEM,Sudeste,SERRANOPOLIS DE MINAS
316700,Não,Masculino,69, superior cpt.,PT,Sudeste,SERRANOS
316710,Não,Masculino,47, médio cpt.,PR,Sudeste,SERRO
316720,Não,Masculino,70,Pós-graduação,PP,Sudeste,SETE LAGOAS
316730,Não,Masculino,42, superior incpt.,DEM,Sudeste,SILVEIRANIA
316740,Não,Masculino,55, superior cpt.,PT,Sudeste,SILVIANOPOLIS
316750,Não,Masculino,51,Pós-graduação,PMN,Sudeste,SIMAO PEREIRA
316760,Sim,Feminino,42, superior cpt.,PR,Sudeste,SIMONESIA
316770,Não,Masculino,54, superior cpt.,PSDB,Sudeste,SOBRALIA
316780,Não,Masculino,41, superior cpt.,PPS,Sudeste,SOLEDADE DE MINAS
316790,Não,Masculino,44, superior cpt.,PP,Sudeste,TABULEIRO
316800,Não,Masculino,37,Pós-graduação,PSDB,Sudeste,TAIOBEIRAS
316805,Não,Masculino,50, médio incpt.,PSDB,Sudeste,TAPARUBA
316810,Sim,Masculino,48, superior incpt.,PMDB,Sudeste,TAPIRA
316820,Não,Masculino,55, médio cpt.,PMDB,Sudeste,TAPIRAI
316830,Não,Masculino,59, médio cpt.,PMDB,Sudeste,TAQUARACU DE MINAS
316840,Não,Feminino,62, superior cpt.,PT,Sudeste,TARUMIRIM
316850,Não,Masculino,47, médio cpt.,PSB,Sudeste,TEIXEIRAS
316860,Não,Masculino,70,Pós-graduação,PMDB,Sudeste,TEOFILO OTONI
316870,Não,Masculino,34, superior cpt.,PT,Sudeste,TIMOTEO
316880,Não,Masculino,56, superior incpt.,PV,Sudeste,TIRADENTES
316890,Não,Masculino,35, médio cpt.,PMDB,Sudeste,TIROS
316900,Não,Masculino,54, médio cpt.,DEM,Sudeste,TOCANTINS
316905,Não,Masculino,59, superior cpt.,PSDB,Sudeste,TOCOS DO MOJI
316910,Sim,Masculino,59, fundamental cpt.,PR,Sudeste,TOLEDO
316920,Não,Masculino,72, médio cpt.,DEM,Sudeste,TOMBOS
316930,Não,Masculino,39,Pós-graduação,PSL,Sudeste,TRES CORACOES
316935,Não,Masculino,60, superior cpt.,PMDB,Sudeste,TRES MARIAS
316940,Não,Masculino,62, superior cpt.,PPS,Sudeste,TRES PONTAS
316950,Não,Masculino,33, superior incpt.,PMDB,Sudeste,TUMIRITINGA
316960,Não,Feminino,59, fundamental cpt.,PSDB,Sudeste,TUPACIGUARA
316970,Não,Masculino,41, médio cpt.,PPS,Sudeste,TURMALINA
316980,Não,Masculino,36, superior cpt.,PDT,Sudeste,TURVOLANDIA
316990,Sim,Masculino,54, superior cpt.,PT,Sudeste,UBA
317000,Não,Masculino,57, fundamental cpt.,PSL,Sudeste,UBAI
317005,Não,Masculino,60, médio cpt.,PT,Sudeste,UBAPORANGA
317010,Não,Masculino,59, superior cpt.,PMDB,Sudeste,UBERABA
317020,Não,Masculino,51, superior cpt.,PT,Sudeste,UBERLANDIA
317030,Sim,Feminino,36, superior incpt.,PMDB,Sudeste,UMBURATIBA
317040,Não,Masculino,58, superior cpt.,PTB,Sudeste,UNAI
317043,Não,Masculino,59, médio cpt.,PSDB,Sudeste,UNIAO DE MINAS
317047,Sim,Feminino,48,Pós-graduação,PMDB,Sudeste,URUANA DE MINAS
317050,Não,Masculino,34,Pós-graduação,PRB,Sudeste,URUCANIA
317052,Sim,Masculino,44, superior incpt.,PR,Sudeste,URUCUIA
317057,Não,Masculino,40, fundamental incpt.,PP,Sudeste,VARGEM ALEGRE
317060,Sim,Masculino,38, superior cpt.,PSDB,Sudeste,VARGEM BONITA
317065,Não,Masculino,40,Pós-graduação,PMDB,Sudeste,VARGEM GRANDE DO RIO PARDO
317070,Não,Masculino,71, superior cpt.,PTB,Sudeste,VARGINHA
317075,Não,Masculino,45, superior incpt.,PPS,Sudeste,VARJAO DE MINAS
317080,Não,Masculino,54, médio cpt.,PSC,Sudeste,VARZEA DA PALMA
317090,Não,Masculino,67, fundamental incpt.,PSB,Sudeste,VARZELANDIA
